year,total_rate_slr,total_rate_slr_sigma,discharge_rate_slr,discharge_rate_sigma_slr,implied_smb_rate_slr,implied_smb_rate_sigma_slr,rcm_smb_rate_slr,rcm_smb_rate_sigma_slr,T_greenland,T_gmst
1992.500000,0.000021,0.000156,0.001251,0.000028,-0.001230,0.000158,-0.001306,0.000153,-2.283060,-0.320932
1994.500000,0.000067,0.000156,0.001258,0.000031,-0.001191,0.000159,-0.001120,0.000153,-1.184771,-0.215432
1994.500000,0.000293,0.000156,0.001258,0.000031,-0.000965,0.000159,-0.001120,0.000153,-1.184771,-0.215432
1996.500000,0.000125,0.000214,0.001240,0.000028,-0.001115,0.000216,-0.001354,0.000153,0.386716,-0.169348
1996.500000,-0.000022,0.000217,0.001240,0.000028,-0.001262,0.000218,-0.001354,0.000153,0.386716,-0.169348
1998.500000,0.000013,0.000221,0.001257,0.000030,-0.001244,0.000223,-0.001303,0.000153,0.290677,0.120568
1998.500000,0.000150,0.000221,0.001257,0.000030,-0.001107,0.000223,-0.001303,0.000153,0.290677,0.120568
2000.500000,0.000205,0.000220,0.001259,0.000032,-0.001054,0.000222,-0.001019,0.000153,-0.249549,-0.120932
2000.500000,0.000081,0.000217,0.001259,0.000032,-0.001178,0.000220,-0.001019,0.000153,-0.249549,-0.120932
2002.500000,0.000212,0.000222,0.001312,0.000030,-0.001100,0.000224,-0.000820,0.000153,0.158222,0.106485
2002.500000,0.000364,0.000284,0.001312,0.000030,-0.000948,0.000285,-0.000820,0.000153,0.158222,0.106485
2004.500000,0.000430,0.000233,0.001400,0.000032,-0.000970,0.000235,-0.000790,0.000153,-0.267675,0.001735
2004.500000,0.000504,0.000235,0.001400,0.000032,-0.000897,0.000237,-0.000790,0.000153,-0.267675,0.001735
2006.500000,0.000548,0.000227,0.001446,0.000037,-0.000898,0.000230,-0.000775,0.000153,0.021114,0.116318
2006.500000,0.000637,0.000236,0.001446,0.000037,-0.000809,0.000239,-0.000775,0.000153,0.021114,0.116318
2008.500000,0.000672,0.000222,0.001426,0.000036,-0.000755,0.000225,-0.000448,0.000153,-0.054374,0.003318
2008.500000,0.000665,0.000230,0.001426,0.000036,-0.000761,0.000233,-0.000448,0.000153,-0.054374,0.003318
2010.500000,0.000725,0.000246,0.001445,0.000036,-0.000721,0.000248,-0.000493,0.000153,2.289236,0.210652
2010.500000,0.000878,0.000229,0.001445,0.000036,-0.000567,0.000232,-0.000493,0.000153,2.289236,0.210652
2012.500000,0.000919,0.000255,0.001499,0.000037,-0.000580,0.000258,-0.000401,0.000153,0.773013,0.121652
2012.500000,0.000867,0.000275,0.001499,0.000037,-0.000631,0.000278,-0.000401,0.000153,0.773013,0.121652
2014.500000,0.000586,0.000272,0.001472,0.000036,-0.000886,0.000274,-0.001014,0.000153,0.281544,0.212568
2014.500000,0.000502,0.000225,0.001472,0.000036,-0.000970,0.000228,-0.001014,0.000153,0.281544,0.212568
2016.500000,0.000512,0.000230,0.001485,0.000035,-0.000973,0.000233,-0.000761,0.000153,1.586251,0.492485
2016.500000,0.000468,0.000225,0.001485,0.000035,-0.001017,0.000227,-0.000761,0.000153,1.586251,0.492485
2018.500000,0.000239,0.000206,0.001531,0.000034,-0.001293,0.000209,-0.001239,0.000153,-0.323529,0.321818
2018.500000,0.000514,0.000276,0.001531,0.000034,-0.001018,0.000278,-0.001239,0.000153,-0.323529,0.321818
2020.500000,0.001226,0.000257,0.001388,0.000131,-0.000162,0.000288,-0.000265,0.000024,-0.093585,0.483068
2020.500000,0.001096,0.000335,0.001388,0.000131,-0.000292,0.000360,-0.000265,0.000024,-0.093585,0.483068
